Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
5033,"23.0619138, 72.6398085","Janta Chambers, Behind Anad Surgical Hospital, Saijpur Tower, Naroda Road",Aadya Eye and Ent Hospital,0,0,0,"Janta Chambers , Behind Anad Surgical Hospital, Saijpur Tower, Naroda Road",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5034,"23.0345759, 72.5635694","Dr K.K Bungalow,Behind Navrangpura Post Office,Navrangpura",Aashu Dental Multispeciality Polyclinic,0,0,0,"Dr K.K Bungalow,Behind Navrangpura Post Office,Navrangpura",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5035,nan,0,Abc Dental Clinic andHospital,0,0,0,,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5036,"23.0341111, 72.4653431","14, Vadigam Society, Opposite Nemsnath Society",Adarsh Hospital,0,0,0,"14, Vadigam Society, Opposite Nemsnath Society",Gujarat,Ahmedabad,0,380001,0,9825938397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5037,nan,"235,Platinum Plaza,Nr Ioc Petrol Pump",All Well Mukim Medical Nursing Home,0,0,0,"235,Platinum Plaza,Nr Ioc Petrol Pump",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5038,"23.0731324, 72.5595813","A/4, Shantaram Complex, Nr Nirnaynagar Garnala, Nirnaynagar",Amijeet Maternity Hospital,0,0,0,"A/4, Shantaram Complex, Nr Nirnaynagar Garnala, Nirnaynagar",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5039,nan,"2Nd Floor, Shalimar Complex, Mahalaxmi Panch Rasta",Amin Children Hospital And Neonatal Care Centre,0,0,0,"2Nd Floor, Shalimar Complex, Mahalaxmi Panch Rasta",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5040,"23.1105464, 72.5849734","Laxmikrupa Society Nr. Shiv Shakti Bus Stop, Chandkheda",Amrut Arogyadham Medical Hospital,0,0,0,"Laxmikrupa Society Nr. Shiv Shakti Bus Stop, Chandkheda",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5041,nan,Ahemdabad,Asha Orthoscopi Center,0,0,0,Ahemdabad,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5042,"22.9291372, 72.6619636","5/C/28, Vivekanand Nagar, Near Hathijan, Hathijan",Ashadeep Polyclinic and Nursing Home,0,0,0,"5/C/28, Vivekanand Nagar, Near Hathijan , Hathijan",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5043,"23.0072793, 72.5573789",0,Ashray Clinic,0,0,0,,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5044,nan,Navrangpura,Asian Institute Of Gastroenterology Surgery,0,0,0,Navrangpura,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5045,nan,"1-2 Vrajmadhu Ri Flats, H/H On Bank Of India Near Old Vadaj Bus Terminus",Chirag Hospital,0,0,0,"1-2 Vrajmadhu Ri Flats, H/H On Bank Of India Near Old Vadaj Bus Terminus",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5046,"23.0514383, 72.6051161",Asarwa,Civil Hospital,0,0,0,Asarwa,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5047,nan,"Aabhushan Complex,2Nd Floor,Near Golden Triangal,Sardar Patel Stadium Road",Deep Urosurgical Hospital -Pvt Ltd,0,0,0,"Aabhushan Complex,2Nd Floor,Near Golden Triangal,Sardar Patel Stadium Road",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5048,nan,"15-16, Third Floor, Shukan Ma, Nr Rajasthan Hospital, Shahibaug",Devansh Eye Clinic,0,0,0,"15-16, Third Floor, Shukan Ma, Nr Rajasthan Hospital, Shahibaug",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5049,"22.9925296, 72.6318021","59, Rajeshwari Society, Nr. Shiv Chamber, C.T.M. Rasta, N.H. No. 8, Amraiwadi",Dhruv Health Care,0,0,0,"59, Rajeshwari Society, Nr. Shiv Chamber, C.T.M. Rasta, N.H. No. 8, Amraiwadi",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5050,"23.0222866, 72.5941667","1782,Desai Ni Pole,Khadia",Dhwani Children Hospital,0,0,0,"1782,Desai Ni Pole,Khadia",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5051,nan,"11-12,Nand Apartment",Dr. Devendra Kanaiyalal Hosp and Nursing Home,0,0,0,"11-12,Nand Apartment",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5052,"23.0273162, 72.5860812","1St Floor,Business Center,Patharkuwa,Relief Road,Ahemdabad",Dr.Haroonbhai Jusabbhai Memon,0,0,0,"1St Floor,Business Center,Patharkuwa,Relief Road,Ahemdabad",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5053,"23.0199612, 72.5604567",0,Dr.Santosh C.Raibagkar,0,0,0,,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5054,nan,"1739, Sir Chinubhai Road, Khadia",Dudhia Medical and Children Hospital,0,0,0,"1739, Sir Chinubhai Road, Khadia",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5055,nan,Civil Hospital Campus,Gulabben Rasiklal Doshi and Smt. Kamlaben Mafatlal,0,0,0,Civil Hospital Campus,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5056,nan,1 Shreenathdwara Society Near Krishnanagar New Vadaj,Harshida Nursing Home,0,0,0,1 Shreenathdwara Society Near Krishnanagar New Vadaj,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5057,"23.0856728, 72.6335469",Nr. Chandkheda Kalol Highway Chandkheda,Jeevandeep Hospital,0,0,0,Nr. Chandkheda Kalol Highway Chandkheda,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5058,"23.0389968, 72.6365779","F/26, Surjit Society, Nr Mangltirth Hosp, Bapunagar",Kalrav Nenotal And Children Hospital,0,0,0,"F/26, Surjit Society, Nr Mangltirth Hosp, Bapunagar",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5059,nan,"Opposite Saipur Tower, Naroda Road",Karanvati Super Speciality Hospital,0,0,0,"Opposite Saipur Tower, Naroda Road",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5060,nan,"Opposite Saijpur Tower, Saijpur Bogha, Naroda Road",Karnavati Superspeciality Hospital,0,0,0,"Opposite Saijpur Tower, Saijpur Bogha, Naroda Road",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,079  22804822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5061,nan,New Wadaj Road,Laxmi Critical Care Pvt Ltd,0,0,0,New Wadaj Road,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5062,nan,"Nr. Jain Derasar,Borasalli Apt. Road,Khanpur",Life Care Health Maintenance Organisation,0,0,0,"Nr. Jain Derasar,Borasalli Apt. Road,Khanpur",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5063,nan,"8Th Floor, Sangita Complex, Nr, Parimal Rly. Crossing, C.G. Road",Life Line Nursing Home,0,0,0,"8Th Floor, Sangita Complex, Nr, Parimal Rly. Crossing, C.G. Road",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5064,"23.0333194, 72.5789867","Opp Borsalli Apts.,Nr Jain Derasar, Cama Hotel Road, Khanpur",Lifecare Emergency Centre,0,0,0,"Opp Borsalli Apts. ,Nr Jain Derasar, Cama Hotel Road, Khanpur",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,25509888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5065,nan,0,M.P Shah Cancer Hospital,0,0,0,,Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
5066,nan,"Near Kala Ram Mandir, Shrirampur",Mangesh Hospital,0,0,0,"Near Kala Ram Mandir, Shrirampur",Gujarat,Ahmedabad,0,380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,474
